trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,start_date
21304252,U.T. Student Membership,164,2019-11-26 08:01:09+00:00,3793,28th/Rio Grande,3799,23rd/San Jacinto @ DKR Stadium,7,2019-11-26
21305753,Local365,078G,2019-11-26 13:57:43+00:00,2495,4th/Congress,3838,26th/Nueces,38,2019-11-26
21304918,U.T. Student Membership,400,2019-11-26 11:12:46+00:00,3794,Dean Keeton/Speedway ,3838,26th/Nueces,4,2019-11-26
21303996,U.T. Student Membership,110,2019-11-26 01:03:45+00:00,3794,Dean Keeton/Speedway ,3838,26th/Nueces,3,2019-11-26
21307187,Local365,58,2019-11-26 18:51:55+00:00,3795,Dean Keeton/Whitis,3838,26th/Nueces,2,2019-11-26
21306086,Local365,078G,2019-11-26 14:50:14+00:00,3838,26th/Nueces,3838,26th/Nueces,15,2019-11-26
21307470,Local365,460,2019-11-26 20:33:05+00:00,2563,Rainey/Davis,3841,23rd/Rio Grande,32,2019-11-26
21305869,24 Hour Walk Up Pass,335G,2019-11-26 14:14:12+00:00,2572,Barton Springs Pool,3841,23rd/Rio Grande,44,2019-11-26
21305874,24 Hour Walk Up Pass,716,2019-11-26 14:15:05+00:00,2572,Barton Springs Pool,3841,23rd/Rio Grande,43,2019-11-26
21306359,U.T. Student Membership,349,2019-11-26 15:44:47+00:00,3792,22nd/Pearl,3841,23rd/Rio Grande,2,2019-11-26
21306858,Local365,2887,2019-11-26 17:17:53+00:00,3793,28th/Rio Grande,3841,23rd/Rio Grande,19,2019-11-26
21306214,U.T. Student Membership,936,2019-11-26 15:17:18+00:00,3794,Dean Keeton/Speedway ,3841,23rd/Rio Grande,4,2019-11-26
21307160,U.T. Student Membership,400,2019-11-26 18:40:32+00:00,3794,Dean Keeton/Speedway ,3841,23rd/Rio Grande,7,2019-11-26
21306782,U.T. Student Membership,156,2019-11-26 17:00:02+00:00,3795,Dean Keeton/Whitis,3841,23rd/Rio Grande,4,2019-11-26
21306617,Local365,460,2019-11-26 16:26:33+00:00,3798,21st/Speedway @ PCL,3841,23rd/Rio Grande,8,2019-11-26
21306622,U.T. Student Membership,040G,2019-11-26 16:27:21+00:00,3798,21st/Speedway @ PCL,3841,23rd/Rio Grande,7,2019-11-26
